Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/28/2024,"REXBURG TEMPLE REXBURG ID                    05/25",-1.00,DEBIT_CARD,14848.90,,
DEBIT,05/28/2024,"McDonalds 5138 120-8356006 ID                05/25",-5.27,DEBIT_CARD,14849.90,,
DEBIT,05/28/2024,"WAL-MART SUPER CENTER REXBURG ID             05/24",-41.01,DEBIT_CARD,14855.17,,
DEBIT,05/24/2024,"PAYPAL           INST XFER  SWIMOUTLET      WEB ID: PAYPALSI77",-45.73,ACH_DEBIT,14896.18,,
DEBIT,05/24/2024,"VENDING MACHINE PETALUMA CA                  05/24",-2.53,DEBIT_CARD,14941.91,,
DEBIT,05/24/2024,"BYUI FOOD SVCS REXBURG ID                    05/23",-10.23,DEBIT_CARD,14944.44,,
DEBIT,05/24/2024,"McDonalds 5138 120-8356006 ID                05/23",-4.87,DEBIT_CARD,14954.67,,
CREDIT,05/24/2024,"Online Transfer from  CHK ...2685 transaction#: 20805284403",50.00,ACCT_XFER,14959.54,,
CREDIT,05/24/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",525.88,ACH_CREDIT,14909.54,,
DEBIT,05/23/2024,"BYUI FOOD SVCS REXBURG ID                    05/22",-6.56,DEBIT_CARD,14383.66,,
DEBIT,05/22/2024,"McDonalds 5138 120-8356006 ID                05/21",-11.68,DEBIT_CARD,14390.22,,
DEBIT,05/21/2024,"BYUI FOOD SVCS REXBURG ID                    05/20",-3.58,DEBIT_CARD,14401.90,,
DEBIT,05/20/2024,"WAL-MART  WAL-MART SUP REXBURG ID            05/18",-46.85,DEBIT_CARD,14405.48,,
DEBIT,05/20/2024,"VENDING MACHINE PETALUMA CA                  05/17",-2.53,DEBIT_CARD,14452.33,,
DEBIT,05/20/2024,"BYUI FOOD SVCS REXBURG ID                    05/17",-10.23,DEBIT_CARD,14454.86,,
CREDIT,05/20/2024,"Online Transfer from CHK ...2685 transaction#: 20837968237",100.00,ACCT_XFER,14465.09,,
DEBIT,05/17/2024,"FREDDY'S 76-0001 REXBURG ID                  05/16",-11.12,DEBIT_CARD,14365.09,,
DEBIT,05/17/2024,"McDonalds 5138 120-8356006 ID                05/16",-5.27,DEBIT_CARD,14376.21,,
CREDIT,05/17/2024,"Online Transfer from  CHK ...2685 transaction#: 20732679502",50.00,ACCT_XFER,14381.48,,
DEBIT,05/16/2024,"BYUI FOOD SVCS REXBURG ID                    05/15",-4.97,DEBIT_CARD,14331.48,,
DEBIT,05/16/2024,"BYUI UNIVERSITY STORE REXBURG ID             05/15",-24.37,DEBIT_CARD,14336.45,,
DEBIT,05/15/2024,"PAYPAL           INST XFER  HELPCOURSER TXI WEB ID: PAYPALSI77",-49.00,ACH_DEBIT,14360.82,,
DEBIT,05/15/2024,"BYUI FOOD SVCS REXBURG ID                    05/14",-2.32,DEBIT_CARD,14409.82,,
DEBIT,05/14/2024,"WAL-MART #1878 REXBURG ID                    05/13",-4.21,DEBIT_CARD,14412.14,,
DEBIT,05/14/2024,"BYUI FOOD SVCS REXBURG ID                    05/13",-6.56,DEBIT_CARD,14416.35,,
DEBIT,05/13/2024,"VENMO            PAYMENT    1034340144802   WEB ID: 3264681992",-14.20,ACH_DEBIT,14422.91,,
DEBIT,05/13/2024,"VENMO            PAYMENT    1034335903357   WEB ID: 3264681992",-15.00,ACH_DEBIT,14437.11,,
DEBIT,05/13/2024,"SUPERCUTS 81293 REXBURG ID                   05/11",-30.00,DEBIT_CARD,14452.11,,
DEBIT,05/13/2024,"COSTCO WHSE #1379 IDAHO FALLS ID     729515  05/11",-3.70,DEBIT_CARD,14482.11,,
DEBIT,05/13/2024,"FAT CATS REXBURG REXBURG ID                  05/10",-21.20,DEBIT_CARD,14485.81,,
DEBIT,05/13/2024,"REXBURG TEMPLE REXBURG ID                    05/10",-2.00,DEBIT_CARD,14507.01,,
DEBIT,05/13/2024,"McDonalds 5138 120-8356006 ID                05/10",-5.27,DEBIT_CARD,14509.01,,
CREDIT,05/13/2024,"VENMO            CASHOUT                    PPD ID: 5264681992",10.50,ACH_CREDIT,14514.28,,
DEBIT,05/10/2024,"BYUI FOOD SVCS REXBURG ID                    05/09",-9.74,DEBIT_CARD,14503.78,,
CREDIT,05/10/2024,"Online Transfer from  CHK ...2685 transaction#: 20660876879",50.00,ACCT_XFER,14513.52,,
CREDIT,05/10/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",556.82,ACH_CREDIT,14463.52,,
DEBIT,05/09/2024,"BYUI FOOD SVCS REXBURG ID                    05/08",-3.58,DEBIT_CARD,13906.70,,
DEBIT,05/08/2024,"WAL-MART  WAL-MART SUP REXBURG ID            05/08",-38.62,DEBIT_CARD,13910.28,,
DEBIT,05/08/2024,"WAL-MART  WAL-MART SUP REXBURG ID            05/08",-53.73,DEBIT_CARD,13948.90,,
DEBIT,05/07/2024,"VENMO            PAYMENT    1034237562156   WEB ID: 3264681992",-5.00,ACH_DEBIT,14002.63,,
DEBIT,05/07/2024,"DAIRY QUEEN #14952 REXBURG ID                05/06",-6.83,DEBIT_CARD,14007.63,,
DEBIT,05/07/2024,"BYUI FOOD SVCS REXBURG ID                    05/06",-3.58,DEBIT_CARD,14014.46,,
DEBIT,05/06/2024,"MAVERIK CNTRY STRE 195 REXBURG ID            05/04",-4.23,DEBIT_CARD,14018.04,,
DEBIT,05/06/2024,"McDonalds 5138 120-8356006 ID                05/04",-8.64,DEBIT_CARD,14022.27,,
DEBIT,05/06/2024,"SQ *GUARDIAN Rexburg ID                      05/03",-80.00,DEBIT_CARD,14030.91,,
DEBIT,05/06/2024,"REXBURG TEMPLE REXBURG ID                    05/03",-2.00,DEBIT_CARD,14110.91,,
DEBIT,05/06/2024,"McDonalds 5138 120-8356006 ID                05/03",-7.79,DEBIT_CARD,14112.91,,
CREDIT,05/06/2024,"VENMO            CASHOUT                    PPD ID: 5264681992",21.96,ACH_CREDIT,14120.70,,
DSLIP,05/06/2024,"REMOTE ONLINE DEPOSIT #          1",5.00,CHECK_DEPOSIT,14098.74,1,
CREDIT,05/03/2024,"Online Transfer from  CHK ...2685 transaction#: 20581668240",50.00,ACCT_XFER,14093.74,,
DEBIT,05/02/2024,"PAYPAL           INST XFER  WALMART COM     WEB ID: PAYPALSI77",-16.88,ACH_DEBIT,14043.74,,
DEBIT,05/02/2024,"BYUI FOOD SVCS REXBURG ID                    05/01",-3.58,DEBIT_CARD,14060.62,,
DEBIT,05/01/2024,"WAL-MART  WAL-MART SUP REXBURG ID            05/01",-30.99,DEBIT_CARD,14064.20,,
DEBIT,05/01/2024,"Manual DB-Bkrg 05/01",-50.00,ACCT_XFER,14095.19,,
DEBIT,04/30/2024,"Ch JesusChrist   DONATION   125187837       WEB ID: 2870834341",-41.00,ACH_DEBIT,14145.19,,
DEBIT,04/30/2024,"CASHNET SMARTPAY BYUI       763809633       WEB ID: 9061578063",-45.00,ACH_DEBIT,14186.19,,
DEBIT,04/30/2024,"BYUI FOOD SVCS REXBURG ID                    04/29",-3.58,DEBIT_CARD,14231.19,,
DEBIT,04/29/2024,"VENMO            PAYMENT    1034036818315   WEB ID: 3264681992",-18.00,ACH_DEBIT,14234.77,,
DEBIT,04/29/2024,"MCDONALD'S F5138 REXBURG ID                  04/27",-1.06,DEBIT_CARD,14252.77,,
DEBIT,04/29/2024,"WAL-MART  WAL-MART SUP REXBURG ID            04/27",-31.04,DEBIT_CARD,14253.83,,
DEBIT,04/29/2024,"TACO BELL 029852 REXBURG ID                  04/26",-13.98,DEBIT_CARD,14284.87,,
DEBIT,04/29/2024,"McDonalds 5138 120-8356006 ID                04/26",-3.80,DEBIT_CARD,14298.85,,
DEBIT,04/26/2024,"BYUI FOOD SVCS REXBURG ID                    04/25",-3.58,DEBIT_CARD,14302.65,,
CREDIT,04/26/2024,"Online Transfer from  CHK ...2685 transaction#: 20514652449",50.00,ACCT_XFER,14306.23,,
CREDIT,04/26/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",60.99,ACH_CREDIT,14256.23,,
DEBIT,04/25/2024,"CASHNET SMARTPAY BYUI       763809633       WEB ID: 9061578063",-938.00,ACH_DEBIT,14195.24,,
DEBIT,04/25/2024,"BYUI FOOD SVCS REXBURG ID                    04/24",-3.58,DEBIT_CARD,15133.24,,
DEBIT,04/24/2024,"BYUI FOOD SVCS REXBURG ID                    04/23",-10.23,DEBIT_CARD,15136.82,,
DEBIT,04/23/2024,"BYUI UNIVERSITY STORE REXBURG ID             04/22",-17.69,DEBIT_CARD,15147.05,,
CREDIT,04/23/2024,"Online Transfer from SAV ...9019 transaction#: 20558180028",873.00,ACCT_XFER,15164.74,,
DEBIT,04/22/2024,"WENDYS 13487 REXBURG ID                      04/21",-6.36,DEBIT_CARD,14291.74,,
DEBIT,04/22/2024,"WAL-MART #1878 REXBURG ID                    04/21",-30.02,DEBIT_CARD,14298.10,,
DEBIT,04/22/2024,"WAL-MART  WAL-MART SUP REXBURG ID            04/21",-67.86,DEBIT_CARD,14328.12,,
DEBIT,04/22/2024,"MAVERIK #676 ELWOOD UT                       04/21",-3.08,DEBIT_CARD,14395.98,,
DEBIT,04/22/2024,"MAVERIK #676 ELWOOD UT                       04/21",-29.88,DEBIT_CARD,14399.06,,
DEBIT,04/22/2024,"FAST GAS #12 SPRINGVILLE UT                  04/21",-2.58,DEBIT_CARD,14428.94,,
CREDIT,04/22/2024,"Online Transfer from CHK ...2685 transaction#: 20541891119",50.00,ACCT_XFER,14431.52,,
CREDIT,04/19/2024,"Online Transfer from  CHK ...2685 transaction#: 20443833775",50.00,ACCT_XFER,14381.52,,
DEBIT,04/15/2024,"PAYPAL           INST XFER  HELPCOURSER TXI WEB ID: PAYPALSI77",-49.00,ACH_DEBIT,14331.52,,
DEBIT,04/15/2024,"MCDONALD'S F20727 DFW AIRPORT TX             04/14",-11.36,DEBIT_CARD,14380.52,,
DEBIT,04/15/2024,"SHAKE SHACK CONC C BNA NASHVILLE TN          04/14",-9.48,DEBIT_CARD,14391.88,,
DEBIT,04/15/2024,"MCDONALD'S F17274 CHICAGO IL                 04/12",-12.02,DEBIT_CARD,14401.36,,
CREDIT,04/12/2024,"Online Transfer from  CHK ...2685 transaction#: 20374734776",50.00,ACCT_XFER,14413.38,,
CREDIT,04/12/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",341.85,ACH_CREDIT,14363.38,,
DEBIT,04/10/2024,"Manual DB-Bkrg 04/10",-2000.00,ACCT_XFER,14021.53,,
DEBIT,04/10/2024,"CHINA COOK ONTARIO CA                        04/09",-9.30,DEBIT_CARD,16021.53,,
DEBIT,04/09/2024,"STATERBROS 204 3460 E ONTARIO CA     003937  04/09",-16.19,DEBIT_CARD,16030.83,,
DEBIT,04/09/2024,"CITY OF LAGUNA BEACH LAGUNA BEACH CA         04/08",-3.75,DEBIT_CARD,16047.02,,
DEBIT,04/09/2024,"NEW PACIFIC AIRLINES 888-3990814 AK          04/06",158.00,DEBIT_CARD,16050.77,,
DEBIT,04/08/2024,"COSTCO WHSE #0122 TUSTIN CA          432403  04/08",-1.62,DEBIT_CARD,15892.77,,
DEBIT,04/08/2024,"COSTCO GAS #0122 TUSTIN CA           211597  04/08",-66.97,DEBIT_CARD,15894.39,,
DEBIT,04/08/2024,"CHEVRON 0099879 BAKER CA                     04/06",-25.53,DEBIT_CARD,15961.36,,
DEBIT,04/08/2024,"IN-N-OUTWASHINGTONCI WASHINGTON CI UT        04/06",-5.71,DEBIT_CARD,15986.89,,
DEBIT,04/08/2024,"MAVERIK #657 WASHINGTON UT                   04/06",-3.08,DEBIT_CARD,15992.60,,
DEBIT,04/08/2024,"MAVERIK #657 WASHINGTON UT                   04/06",-47.32,DEBIT_CARD,15995.68,,
DEBIT,04/08/2024,"MAVERIK CNTRY STRE 321 PROVO UT              04/06",-13.78,DEBIT_CARD,16043.00,,
DEBIT,04/08/2024,"MAVERIK CNTRY STRE 321 PROVO UT              04/06",-53.24,DEBIT_CARD,16056.78,,
DEBIT,04/08/2024,"McDonalds 10437 180-1374690 UT               04/06",-6.54,DEBIT_CARD,16110.02,,
DEBIT,04/08/2024,"RAISING CANES 0593 PROVO UT                  04/05",-26.27,DEBIT_CARD,16116.56,,
DEBIT,04/08/2024,"MCDONALD'S F36056 REXBURG ID                 04/05",-7.11,DEBIT_CARD,16142.83,,
CREDIT,04/08/2024,"Online Transfer from CHK ...2685 transaction#: 20405619262",100.00,ACCT_XFER,16149.94,,
DEBIT,04/05/2024,"GOOD 2 GO 105 REXBURG ID             776298  04/05",-28.23,DEBIT_CARD,16049.94,,
DEBIT,04/05/2024,"WENDY'S #12308 REXBURG ID                    04/04",-2.12,DEBIT_CARD,16078.17,,
DEBIT,04/05/2024,"BYUI FOOD SVCS REXBURG ID                    04/04",-5.37,DEBIT_CARD,16080.29,,
CREDIT,04/05/2024,"Online Transfer from  CHK ...2685 transaction#: 20296639921",50.00,ACCT_XFER,16085.66,,
DEBIT,04/04/2024,"BYUI FOOD SVCS REXBURG ID                    04/03",-10.23,DEBIT_CARD,16035.66,,
DEBIT,04/03/2024,"Ch JesusChrist   DONATION   124015122       WEB ID: 2870834341",-36.00,ACH_DEBIT,16045.89,,
DEBIT,04/03/2024,"BWW IDAHO FALLS 590 678-514-4100 ID          04/02",-26.56,DEBIT_CARD,16081.89,,
DEBIT,04/03/2024,"BYUI FOOD SVCS REXBURG ID                    04/02",-3.58,DEBIT_CARD,16108.45,,
DEBIT,04/03/2024,"VENDING MACHINE PETALUMA CA                  04/02",-2.53,DEBIT_CARD,16112.03,,
DEBIT,04/02/2024,"BROULIM'S #6 REXBURG ID                      04/01",-6.35,DEBIT_CARD,16114.56,,
DEBIT,04/02/2024,"WENDY'S #12308 REXBURG ID                    04/01",-3.81,DEBIT_CARD,16120.91,,
DEBIT,04/02/2024,"BYUI FOOD SVCS REXBURG ID                    04/01",-4.97,DEBIT_CARD,16124.72,,
DEBIT,04/02/2024,"APPLE.COM/BILL 866-712-7753 CA               04/02",-18.00,DEBIT_CARD,16129.69,,
CREDIT,04/02/2024,"Online Transfer from CHK ...2685 transaction#: 20343032271",25.00,ACCT_XFER,16147.69,,
DEBIT,04/01/2024,"BYUI FOOD SVCS REXBURG ID                    03/30",-9.74,DEBIT_CARD,16122.69,,
DEBIT,04/01/2024,"BYUI FOOD SVCS REXBURG ID                    03/29",-3.15,DEBIT_CARD,16132.43,,
DEBIT,04/01/2024,"McDonalds 5138 120-8356006 ID                03/29",-7.11,DEBIT_CARD,16135.58,,
DEBIT,03/29/2024,"VENMO            PAYMENT    1033406458430   WEB ID: 3264681992",-5.00,ACH_DEBIT,16142.69,,
CREDIT,03/29/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",45.49,ACH_CREDIT,16147.69,,
CREDIT,03/29/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",46.88,ACH_CREDIT,16102.20,,
CREDIT,03/29/2024,"Online Transfer from  CHK ...2685 transaction#: 20229803780",50.00,ACCT_XFER,16055.32,,
CREDIT,03/29/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",355.74,ACH_CREDIT,16005.32,,
DEBIT,03/28/2024,"SQ *CRISPY CONES Rexburg ID                  03/27",-18.21,DEBIT_CARD,15649.58,,
DEBIT,03/28/2024,"TAGG N GO REXBURG REXBURG ID                 03/27",-12.00,DEBIT_CARD,15667.79,,
DEBIT,03/28/2024,"TACO BELL 029852 REXBURG ID                  03/27",-12.71,DEBIT_CARD,15679.79,,
DEBIT,03/28/2024,"McDonalds 5138 120-8356006 ID                03/27",-3.49,DEBIT_CARD,15692.50,,
DEBIT,03/27/2024,"BYUI FOOD SVCS REXBURG ID                    03/26",-3.58,DEBIT_CARD,15695.99,,
DEBIT,03/26/2024,"WENDYS 13487 REXBURG ID                      03/25",-6.36,DEBIT_CARD,15699.57,,
DEBIT,03/26/2024,"BYUI FOOD SVCS REXBURG ID                    03/25",-3.58,DEBIT_CARD,15705.93,,
DEBIT,03/25/2024,"WAL-MART  WAL-MART SUP REXBURG ID            03/25",-42.00,DEBIT_CARD,15709.51,,
DEBIT,03/25/2024,"WALGREENS STORE 164 E REXBURG ID     815336  03/25",-4.23,DEBIT_CARD,15751.51,,
DEBIT,03/25/2024,"VENMO            PAYMENT    1033325959606   WEB ID: 3264681992",-5.00,ACH_DEBIT,15755.74,,
DEBIT,03/25/2024,"BYUI FOOD SVCS REXBURG ID                    03/23",-10.23,DEBIT_CARD,15760.74,,
DEBIT,03/25/2024,"MCDONALD'S F5138 REXBURG ID                  03/23",-6.24,DEBIT_CARD,15770.97,,
DEBIT,03/25/2024,"WAL-MART #1878 REXBURG ID                    03/22",-43.21,DEBIT_CARD,15777.21,,
DEBIT,03/25/2024,"BYUI FOOD SVCS REXBURG ID                    03/22",-3.15,DEBIT_CARD,15820.42,,
CREDIT,03/25/2024,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",2.56,ACH_CREDIT,15823.57,,
DEBIT,03/22/2024,"WAL-MART  WAL-MART SUP REXBURG ID            03/22",-26.48,DEBIT_CARD,15821.01,,
CREDIT,03/22/2024,"Online Transfer from  CHK ...2685 transaction#: 20161520531",50.00,ACCT_XFER,15847.49,,
DEBIT,03/21/2024,"TACO BELL 029852 REXBURG ID                  03/20",-16.31,DEBIT_CARD,15797.49,,
DEBIT,03/20/2024,"Deseret Book - 51770 Rexburg ID              03/20",-20.16,DEBIT_CARD,15813.80,,
DEBIT,03/20/2024,"BYUI FOOD SVCS REXBURG ID                    03/19",-3.58,DEBIT_CARD,15833.96,,
DEBIT,03/20/2024,"ASIAN CUISINE & SUSHI B REXBURG ID           03/18",-16.09,DEBIT_CARD,15837.54,,
DEBIT,03/19/2024,"Ch JesusChrist   DONATION   123313435       WEB ID: 2870834341",-36.00,ACH_DEBIT,15853.63,,
DEBIT,03/18/2024,"WAL-MART #1878 REXBURG ID                    03/16",-46.37,DEBIT_CARD,15889.63,,
DEBIT,03/18/2024,"REXBURG TEMPLE REXBURG ID                    03/16",-2.00,DEBIT_CARD,15936.00,,
DEBIT,03/18/2024,"TACO BELL 029852 REXBURG ID                  03/16",-17.36,DEBIT_CARD,15938.00,,
DEBIT,03/18/2024,"BYUI FOOD SVCS REXBURG ID                    03/15",-4.97,DEBIT_CARD,15955.36,,
DEBIT,03/15/2024,"VENMO            PAYMENT    1033121873158   WEB ID: 3264681992",-5.00,ACH_DEBIT,15960.33,,
DEBIT,03/15/2024,"BYUI FOOD SVCS REXBURG ID                    03/14",-15.26,DEBIT_CARD,15965.33,,
DEBIT,03/15/2024,"McDonalds 5138 120-8356006 ID                03/14",-3.49,DEBIT_CARD,15980.59,,
CREDIT,03/15/2024,"VENMO            CASHOUT                    PPD ID: 5264681992",8.00,ACH_CREDIT,15984.08,,
CREDIT,03/15/2024,"Online Transfer from  CHK ...2685 transaction#: 20095081606",50.00,ACCT_XFER,15976.08,,
CREDIT,03/15/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",357.50,ACH_CREDIT,15926.08,,
DEBIT,03/13/2024,"PAYPAL           INST XFER  LS CO           WEB ID: PAYPALSI77",-60.94,ACH_DEBIT,15568.58,,
DEBIT,03/13/2024,"Ch JesusChrist   DONATION   123044652       WEB ID: 2870834341",-33.00,ACH_DEBIT,15629.52,,
DEBIT,03/13/2024,"BYUI FOOD SVCS REXBURG ID                    03/12",-8.68,DEBIT_CARD,15662.52,,
DEBIT,03/13/2024,"McDonalds 5138 120-8356006 ID                03/12",-1.06,DEBIT_CARD,15671.20,,
DEBIT,03/12/2024,"BYUI FOOD SVCS REXBURG ID                    03/11",-8.55,DEBIT_CARD,15672.26,,
DEBIT,03/11/2024,"VENMO            PAYMENT    1033023047746   WEB ID: 3264681992",-5.00,ACH_DEBIT,15680.81,,
DEBIT,03/11/2024,"SUPERCUTS 81915 REXBURG ID                   03/09",-25.00,DEBIT_CARD,15685.81,,
DEBIT,03/11/2024,"SUPERCUTS 81915 REXBURG ID                   03/09",-25.00,DEBIT_CARD,15710.81,,
DEBIT,03/11/2024,"GRAVITY FACTORY REXBURG ID                   03/08",-27.56,DEBIT_CARD,15735.81,,
DEBIT,03/11/2024,"BYUI FOOD SVCS REXBURG ID                    03/08",-10.48,DEBIT_CARD,15763.37,,
DEBIT,03/11/2024,"McDonalds 5138 120-8356006 ID                03/08",-3.49,DEBIT_CARD,15773.85,,
CREDIT,03/11/2024,"VENMO            CASHOUT                    PPD ID: 5264681992",29.85,ACH_CREDIT,15777.34,,
CREDIT,03/08/2024,"Online Transfer from  CHK ...2685 transaction#: 20021342950",50.00,ACCT_XFER,15747.49,,
DEBIT,03/07/2024,"BYUI TICKET OFFICE REXBURG ID                03/06",-6.00,DEBIT_CARD,15697.49,,
DEBIT,03/07/2024,"FIVE GUYS ID 1872 QSR REXBURG ID             03/06",-16.09,DEBIT_CARD,15703.49,,
DEBIT,03/06/2024,"PAYPAL           INST XFER  LS CO           WEB ID: PAYPALSI77",-54.38,ACH_DEBIT,15719.58,,
DEBIT,03/06/2024,"BYUI FOOD SVCS REXBURG ID                    03/05",-7.17,DEBIT_CARD,15773.96,,
DEBIT,03/04/2024,"VENMO            PAYMENT    1032875502798   WEB ID: 3264681992",-5.00,ACH_DEBIT,15781.13,,
DEBIT,03/04/2024,"MAVERIK #195 REXBURG ID              897180  03/02",-44.76,DEBIT_CARD,15786.13,,
DEBIT,03/04/2024,"DOMINO'S 7391 REXBURG ID                     03/02",-47.67,DEBIT_CARD,15830.89,,
DEBIT,03/04/2024,"BYUI FOOD SVCS REXBURG ID                    03/01",-3.15,DEBIT_CARD,15878.56,,
CREDIT,03/04/2024,"VENMO            CASHOUT                    PPD ID: 5264681992",36.70,ACH_CREDIT,15881.71,,
CREDIT,03/01/2024,"Offer: McDonalds (GMA) App",0.50,MISC_CREDIT,15845.01,,
CREDIT,03/01/2024,"Online Transfer from CHK ...2685 transaction#: 20023722896",25.00,ACCT_XFER,15844.51,,
CREDIT,03/01/2024,"Online Transfer from  CHK ...2685 transaction#: 19948402211",50.00,ACCT_XFER,15819.51,,
CREDIT,03/01/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",323.18,ACH_CREDIT,15769.51,,
DEBIT,02/29/2024,"WAL-MART  Wal-Mart Sup REXBURG ID            02/29",-8.46,DEBIT_CARD,15446.33,,
DEBIT,02/29/2024,"McDonalds 5138 120-8356006 ID                02/28",-14.31,DEBIT_CARD,15454.79,,
DEBIT,02/28/2024,"McDonalds 5138 120-8356006 ID                02/27",-4.13,DEBIT_CARD,15469.10,,
DEBIT,02/26/2024,"McDonalds 5138 120-8356006 ID                02/25",-10.08,DEBIT_CARD,15473.23,,
DEBIT,02/26/2024,"TACO BELL 029852 REXBURG ID                  02/24",-20.95,DEBIT_CARD,15483.31,,
DEBIT,02/26/2024,"TACO BELL 729852 208-656-0220 ID             02/24",-1.06,DEBIT_CARD,15504.26,,
DEBIT,02/26/2024,"BYUI FOOD SVCS REXBURG ID                    02/23",-3.15,DEBIT_CARD,15505.32,,
CREDIT,02/23/2024,"Online Transfer from  CHK ...2685 transaction#: 19884046131",50.00,ACCT_XFER,15508.47,,
DEBIT,02/21/2024,"Ch JesusChrist   DONATION   121948480       WEB ID: 2870834341",-36.00,ACH_DEBIT,15458.47,,
DEBIT,02/21/2024,"ALBERTSONS #0171 REXBURG ID          852246  02/20",-7.41,DEBIT_CARD,15494.47,,
DEBIT,02/21/2024,"DENNY'S #9644 Rexburg ID                     02/20",-19.36,DEBIT_CARD,15501.88,,
DEBIT,02/20/2024,"VENMO            PAYMENT    1032636646594   WEB ID: 3264681992",-3.50,ACH_DEBIT,15521.24,,
DEBIT,02/20/2024,"TACO BELL 729852 208-656-0220 ID             02/19",-6.88,DEBIT_CARD,15524.74,,
DEBIT,02/20/2024,"McDonalds 5138 120-8356006 ID                02/17",-14.73,DEBIT_CARD,15531.62,,
DEBIT,02/20/2024,"BYUI FOOD SVCS REXBURG ID                    02/16",-10.48,DEBIT_CARD,15546.35,,
CREDIT,02/16/2024,"Online Transfer from  CHK ...2685 transaction#: 19816690328",50.00,ACCT_XFER,15556.83,,
CREDIT,02/16/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",353.65,ACH_CREDIT,15506.83,,
DEBIT,02/15/2024,"WAL-MART #1878 REXBURG ID                    02/14",-1.23,DEBIT_CARD,15153.18,,
DEBIT,02/15/2024,"TACO BELL 729852 208-656-0220 ID             02/14",-1.06,DEBIT_CARD,15154.41,,
DEBIT,02/14/2024,"RC Rent (208) 26 RC Rent (2 ST-T0U8M6L7L0G1 CCD ID: 1800948598",-202.95,MISC_DEBIT,15155.47,,
DEBIT,02/14/2024,"BYUI FOOD SVCS REXBURG ID                    02/13",-3.58,DEBIT_CARD,15358.42,,
DEBIT,02/14/2024,"GUERREROS MEXICAN FOOD REXBURG ID            02/12",-10.04,DEBIT_CARD,15362.00,,
CREDIT,02/14/2024,"Online Transfer from CHK ...2685 transaction#: 19863594773",25.00,ACCT_XFER,15372.04,,
DEBIT,02/13/2024,"BYUI FOOD SVCS REXBURG ID                    02/12",-3.58,DEBIT_CARD,15347.04,,
DEBIT,02/12/2024,"VENMO            PAYMENT    1032479476356   WEB ID: 3264681992",-20.00,ACH_DEBIT,15350.62,,
DEBIT,02/12/2024,"SUPERCUTS 81293 REXBURG ID                   02/10",-25.00,DEBIT_CARD,15370.62,,
DEBIT,02/12/2024,"McDonalds 5138 120-8356006 ID                02/11",-10.08,DEBIT_CARD,15395.62,,
DEBIT,02/12/2024,"TACO BELL 029852 REXBURG ID                  02/10",-35.58,DEBIT_CARD,15405.70,,
DEBIT,02/12/2024,"BYUI FOOD SVCS REXBURG ID                    02/09",-9.74,DEBIT_CARD,15441.28,,
DEBIT,02/09/2024,"BYUI FOOD SVCS REXBURG ID                    02/08",-3.58,DEBIT_CARD,15451.02,,
CREDIT,02/09/2024,"Online Transfer from  CHK ...2685 transaction#: 19749194705",50.00,ACCT_XFER,15454.60,,
DEBIT,02/08/2024,"McDonalds 5138 120-8356006 ID                02/07",-10.08,DEBIT_CARD,15404.60,,
DEBIT,02/07/2024,"WAL-MART #1878 REXBURG ID                    02/07",-33.37,DEBIT_CARD,15414.68,,
DEBIT,02/06/2024,"Ch JesusChrist   DONATION   121312312       WEB ID: 2870834341",-33.00,ACH_DEBIT,15448.05,,
DEBIT,02/06/2024,"BYUI FOOD SVCS REXBURG ID                    02/05",-3.58,DEBIT_CARD,15481.05,,
DEBIT,02/05/2024,"NEW PACIFIC AIRLINES 907-2668394 AK          02/03",-158.00,DEBIT_CARD,15484.63,,
DEBIT,02/05/2024,"DENNY'S #9644 Rexburg ID                     02/03",-30.23,DEBIT_CARD,15642.63,,
DEBIT,02/05/2024,"REXBURG DI REXBURG ID                416558  02/03",-20.14,DEBIT_CARD,15672.86,,
DEBIT,02/05/2024,"CAFE RIO 0090 REXBURG REXBURG ID             02/03",-18.73,DEBIT_CARD,15693.00,,
DEBIT,02/02/2024,"BYUI FOOD SVCS REXBURG ID                    02/01",-2.32,DEBIT_CARD,15711.73,,
DEBIT,02/02/2024,"BYUI FOOD SVCS REXBURG ID                    02/01",-3.18,DEBIT_CARD,15714.05,,
CREDIT,02/02/2024,"Online Transfer from  CHK ...2685 transaction#: 19678480825",50.00,ACCT_XFER,15717.23,,
CREDIT,02/02/2024,"BRIGHAM YOUNG UN PAYROLL                    PPD ID: 3820207699",321.86,ACH_CREDIT,15667.23,,
DEBIT,01/31/2024,"BYUI FOOD SVCS REXBURG ID                    01/30",-3.58,DEBIT_CARD,15345.37,,
